,Country,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00
1,Austria,23291.0,20398.0,29666.0,30320.0,26295.0,25904.0,26260.0,18813.0,21402.0,24388.0,19338.0,13418.0
2,Belgium,55872.0,52611.0,52851.0,51858.0,40912.0,37632.0,34850.0,26145.0,31678.0,37702.0,27307.0,18151.0
3,Denmark,7075.0,8132.0,10241.0,10030.0,11890.0,11206.0,9190.0,8859.0,8755.0,9044.0,8159.0,9004.0
4,Finland,12132.0,8446.0,9519.0,11066.0,12709.0,10866.0,10287.0,10221.0,8985.0,9712.0,8041.0,4893.0
5,France,192089.0,173064.0,198302.0,207891.0,186265.0,200835.0,199321.0,121781.0,153069.0,188209.0,164789.0,159456.0
6,Germany,243400.0,233281.0,321840.0,304326.0,282632.0,308450.0,282560.0,244287.0,266005.0,281057.0,256564.0,228496.0
7,Greece,27021.0,21403.0,23348.0,29365.0,23403.0,23003.0,29109.0,19310.0,21154.0,21065.0,17655.0,12653.0
8,Ireland,31074.0,24173.0,18803.0,15478.0,18455.0,11714.0,12453.0,8712.0,6382.0,5113.0,2126.0,1642.0
9,Italy,246886.0,198127.0,211779.0,193976.0,207677.0,180406.0,204490.0,100615.0,165982.0,192258.0,179355.0,198061.0
10,Luxembourg,3368.0,4713.0,5278.0,5276.0,4068.0,3779.0,3782.0,2191.0,2798.0,3565.0,2703.0,1882.0
11,Netherlands,70836.0,42523.0,47044.0,40361.0,44727.0,46950.0,39902.0,36259.0,40883.0,43153.0,37660.0,20404.0
12,Portugal,18960.0,19831.0,23478.0,18895.0,25972.0,24028.0,25442.0,13553.0,13729.0,15344.0,13730.0,13130.0
13,Spain,95941.0,105272.0,127218.0,112838.0,127692.0,125724.0,152938.0,79650.0,80809.0,111811.0,97469.0,114515.0
14,Sweden,16293.0,18848.0,22936.0,24311.0,24617.0,22861.0,17410.0,18618.0,22101.0,23249.0,22358.0,20987.0
15,United Kingdom,205476.0,93515.0,423727.0,208976.0,208669.0,207330.0,195637.0,87245.0,432661.0,184145.0,171674.0,144576.0
16,EU-151,1249714.0,1024337.0,1526030.0,1264967.0,1245983.0,1240688.0,1243631.0,796259.0,1276393.0,1149815.0,1028928.0,961268.0
